l4_id,global_source_id,input_text_hash,top1_l3_id,top1_semantic_score,top1_composite_score,semantic_margin,composite_margin,anchor_top1_votes,eligible_l3_ids,gap_sentinels,decision,abstention_reason
RAI4-0076,GOVRISK-REF-0031,8225b2ad031c5886fded87773e48c4e9d05c224554a9be081e998320f179e087,RAI3-A-SYS-04,0.593257,0.444943,0.023806,0.017854,2,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0077,GOVRISK-REF-0032,363ad6476fc50cbc6c8d2b0f5073a34e7437fcf602761368e59245fe2075ece3,RAI3-G-SYS-09,0.558868,0.419151,0.020512,0.015384,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0078,GOVRISK-REF-0033,64094b7a49aa121d667e10f8704da57031b84a6d93ee1d8bd73257dbc30e0b0e,RAI3-G-SYS-09,0.596235,0.447176,0.024964,0.018723,3,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0079,GOVRISK-REF-0034,ab01f23a0a752c35740c7f1a08c41aa8b2ed24fe5a9cb8045d9d7f5560f346a1,RAI3-G-SYS-08,0.576589,0.432442,0.028846,0.021634,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0080,GOVRISK-REF-0035,8bc3d5feaa8f9ce3febfdb86e3055f22691a825419b7d0a64f23e00042f2b5c6,RAI3-G-SYS-08,0.563886,0.422915,0.008791,0.006593,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0081,GOVRISK-REF-0036,8d4126efb82d11ed4df27beacacacb54635924e8c22f99c9410face6b1afc280,RAI3-G-INT-11,0.572139,0.429104,0.014774,0.011081,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0082,GOVRISK-REF-0037,1c28b2a757ae8c97bdd1309cdde68180af9640ab8fd88689b7c6428d36c83dfc,RAI3-G-SYS-01,0.601694,0.45127,0.018642,0.013982,1,[],"[""ROBUSTNESS_ALIGNMENT_CONTROL""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0083,GOVRISK-REF-0038,ad4090d4a1fb9b606bd779ed1f57df72f8d5202dabf9b5f5fd7ebdfbe60d1ad0,RAI3-G-SYS-03,0.585075,0.438806,0.002717,0.002038,2,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0084,GOVRISK-REF-0039,2f0a305468d9489543d87378c326a257dbd7a14b86581d76c5ffeef63c864b5b,RAI3-G-INT-11,0.588345,0.441259,0.028904,0.021678,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0085,GOVRISK-REF-0040,d80471de723135e04e921be6658049d49e4dbb09dba3d2532b7c7fc19bfd9d32,RAI3-G-SYS-08,0.544763,0.408572,0.000564,0.000423,0,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0086,GOVRISK-REF-0041,26b7a93fa3a7c2e7963ddabd986861ae7e9cd55111edf146f10d38f7d97bfcfd,RAI3-G-SYS-08,0.594188,0.445641,0.015959,0.011969,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0087,GOVRISK-REF-0042,e1775acd41b8f194bd1793ee6995b01d6f241314d84e458376ed5d243ec8da81,RAI3-A-SYS-01,0.559497,0.419623,0.00768,0.00576,2,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0088,GOVRISK-REF-0043,d449d34b71299b897fc2736981652dcf978afbeccd83e6d7b57c30432f86b308,RAI3-G-SYS-05,0.530691,0.608018,0.027101,0.177714,0,"[""RAI3-G-SYS-05""]",[],needs_taxonomy_decision,RULE_SEMANTIC_DISAGREEMENT
RAI4-0089,GOVRISK-REF-0044,ecfd5e93b7eefe2dca651ad9a4827df32808124ff53bae273175117e453adf05,RAI3-A-SYS-06,0.580438,0.435329,0.020978,0.015734,3,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
