source_row_id,source_domain,source_l4_id,final_l4_id,final_l1_id,final_l3_id,status
SRC-G-0285,General,RAI4-0360,G_Others_078,L1_G,G_Others,ACTIVE
SRC-G-0286,General,RAI4-0502,G_SOC_ENV_005,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0287,General,RAI4-0504,G_SOC_ENV_006,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0288,General,RAI4-0798,G_SOC_ENV_015,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0289,General,RAI4-0799,G_SYS_MISINFO_007,L1_G,G_SYS_MISINFO,ACTIVE
SRC-G-0290,General,RAI4-0926,G_SOC_ENV_007,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0291,General,RAI4-0950,G_SOC_ENV_018,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0292,General,RAI4-0996,G_SOC_ENV_016,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0293,General,RAI4-1015,G_SOC_ENV_003,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0294,General,RAI4-1064,G_SOC_ENV_009,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0295,General,RAI4-1093,G_SOC_ENV_008,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0296,General,RAI4-1269,G_SOC_ENV_013,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0297,General,RAI4-1374,G_SOC_ENV_012,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0298,General,RAI4-1452,G_SOC_ENV_002,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0299,General,RAI4-1453,G_SOC_ENV_004,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0300,General,RAI4-1455,G_SOC_ENV_011,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0301,General,RAI4-1698,G_SOC_ENV_010,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0302,General,RAI4-0346,G_Others_132,L1_G,G_Others,ACTIVE
SRC-G-0303,General,RAI4-0432,G_SYS_INCONS_006,L1_G,G_SYS_INCONS,ACTIVE
SRC-G-0304,General,RAI4-1056,G_INT_PRIV_020,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0305,General,RAI4-1655,G_INT_PRIV_024,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0306,General,RAI4-0514,G_SOC_ECON_006,L1_G,G_SOC_ECON,ACTIVE
SRC-G-0307,General,RAI4-1065,G_SOC_ECON_008,L1_G,G_SOC_ECON,ACTIVE
SRC-G-0308,General,RAI4-1232,G_SOC_ECON_001,L1_G,G_SOC_ECON,ACTIVE
SRC-G-0309,General,RAI4-1445,G_SOC_ECON_009,L1_G,G_SOC_ECON,ACTIVE
SRC-G-0310,General,RAI4-1662,G_SOC_ECON_004,L1_G,G_SOC_ECON,ACTIVE
